system_file	kepler_file	num_moons	Planet_period(days)	P_Transits_present/absent	SNR1	SNR2	SNR3	SNR4	SNR5	M_Transits_present/absent1	M_Transits_present/absent2	M_Transits_present/absent3	M_Transits_present/absent4	M_Transits_present/absent5	DW_statistic	Best_offset	Planet_Transit_duration	t0_bary
july13_res_763	dummy_lc.txt	3	42.662020851667236	11111001111110011111110011111	9.162531884145569	10.651527139769593	11.04281036246836	NA	NA	11111001111110011111110011111	11111001111110011111110011111	11111001111110011111110011111	NA	NA	1.9929242379794396	10.227525983389642	0.18864672055380557	363.1244507268125
july13_res_838	dummy_lc.txt	3	34.134667595649816	111111001111111100011101011000111111	1.9940863602066756	1.5542116883852692	3.319156563255628	NA	NA	111111001111111100011101011000111111	111111001111111100011101011000111111	111111001111111100011101011000111111	NA	NA	1.9892335607826708	13.895697292682582	0.17718959955862873	366.79273574841
july13_res_943	dummy_lc.txt	3	12.336368748995113	11111110111111100000000111111101101111111111100000000010111101111111111111100000000111011111111111111	2.9906392652964606	3.6577761339568866	5.636726445950889	NA	NA	11111110111111100000000111111101101111111111100000000010111101111111111111100000000111011111111111111	11111110111111100000000111111101101111111111100000000010111101111111111111100000000111011111111111111	11111110111111100000000111111101101111111111100000000010111101111111111111100000000111011111111111111	NA	NA	1.98306819214293	0.9203050815329419	0.8971463739666675	354.31751777740595
july13_res_478	dummy_lc.txt	3	194.35355716558402	111111	1.6009511688938676	2.123456065129117	1.230906784412353	NA	NA	111111	111111	011101	NA	NA	1.9906286628810845	94.970040055427	0.374917865377716	448.3669930545939
july13_res_808	dummy_lc.txt	3	348.7929845735656	1111	6.0731547942000255	5.488823031864519	7.2745917053051405	NA	NA	1111	1111	1111	NA	NA	1.9902491206829989	0.0	0.4072013191433487	353.89707966751826
july13_res_243	dummy_lc.txt	3	128.9942722047399	1101111111	5.972983181394328	7.14052421415564	7.596438343530438	NA	NA	1101111111	1101111111	1101111111	NA	NA	1.991099155009132	3.605877323835667	0.366412978919853	357.00320084199853
july13_res_168	dummy_lc.txt	3	119.83362191338139	1111111111	4.129765846566337	1.5013776069146723	5.447082586147692	NA	NA	1111111111	1111111111	1111000111	NA	NA	1.993408347880558	62.12853796591681	0.35570466063055495	415.52478326098094
july13_res_738	dummy_lc.txt	3	37.80875522850185	111110011110111001111111000111111	0.6329238313934316	0.7204057816462845	0.6289243292636949	NA	NA	111110011110111001111111000111111	111110011110111001111111000111111	111110011110111001111111000111111	NA	NA	1.9895692135652794	18.54075909418838	0.21430861207452065	371.43537868140766
july13_res_848	dummy_lc.txt	3	77.87823877143563	1110111011110111	4.168786981176354	4.14989646853132	2.760727045446553	NA	NA	1110111011110111	1110111011110111	1110111011110111	NA	NA	1.9908237611696877	26.739932355270756	0.42009000085727544	380.1368843017883
july13_res_83	dummy_lc.txt	3	15.472357955003117	11101111111100000011111100111111111100000011111101111111111100000011111110111111	3.5636327167458086	3.318944119158692	2.4273401645885495	NA	NA	11101111111100000011111100111111111100000011111101111111111100000011111110111111	11101111111100000011111100111111111100000011111101111111111100000011111110111111	11101111111100000011111100111111111100000011111101111111111100000011111110111111	NA	NA	1.9895221348362118	0.7185930745236583	0.22529683492927297	353.6155913850774
july13_res_289	dummy_lc.txt	4	143.52442178104278	111101111	4.8709899968328605	4.583004130263349	3.527503256164282	4.115235418464634	NA	111101111	111101111	111101111	011000110	NA	1.988693390381175	16.184794375929926	0.377126797277398	369.5816655555508
